,Gender,Age,!,"""",#,$,%,&,',(,),*,+,",",-,0,/,:,;,<,=,>,?,@,[,\,],^,_,`,{,|,},~,Vocabulary
a32d584d94c8b4df00c723964397af63,FEMALE,25-34,13,0,34,0,0,31,0,3,3,0,0,15,1,27,0,2,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,314
7aae392bc294eb33775b41d1ae9008a6,FEMALE,35-49,39,18,0,0,3,6,35,19,18,0,0,451,67,614,1,36,17,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,2977
2ca309cabcd1abfe3b5ce94a3d04083f,MALE,18-24,0,2,3,6,0,4,0,27,27,2,0,141,98,223,42,14,1,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,1495
a60b395bd833e09056306cf9e2a5424f,FEMALE,35-49,0,0,15,0,1,15,0,10,10,0,0,37,15,24,1,8,15,0,0,0,5,0,10,0,10,0,2,0,0,0,0,0,312
85cd4542fdbd671a1081fdf9cc9c99f1,MALE,25-34,2,6,0,0,35,44,32,59,59,0,5,131,69,150,4,33,5,0,0,1,9,0,1,0,1,0,0,0,0,0,0,1,926
a8ac8af521dd5428a2684753ff282c70,MALE,25-34,37,70,8,2,5,14,70,159,169,39,17,258,105,539,36,116,104,0,48,7,9,44,26,0,27,1,52,0,51,1,51,1,2335
67b65b5ecfd4737ef2d1635f7787d27c,MALE,50-64,10,0,4,6,74,18,16,254,256,0,8,1032,292,562,198,276,38,0,14,0,22,0,0,0,0,0,12,0,0,0,0,0,2903
9fd6232ade715eb689acbf07177bdf4e,FEMALE,35-49,1,12,12,0,0,12,8,0,0,0,0,21,29,27,6,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262
77ca664bd8d7493d74e06c31310c880b,FEMALE,25-34,5,0,21,0,0,21,0,1,1,0,0,36,12,53,0,1,21,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,250
2964569986f901b8461b8de8e0315d53,MALE,25-34,4,290,0,0,1,22,205,163,163,1,0,531,122,749,12,132,22,0,0,0,50,0,16,0,16,0,0,0,0,0,0,0,3156
ee0d877c8e51ba35f769168e0a931ab9,MALE,35-49,0,0,0,0,7,0,0,36,36,0,0,121,37,114,4,4,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1044
f63a0abd1aa908e77bcd4b24f9167d50,FEMALE,25-34,0,0,11,0,0,11,0,4,4,0,1,4,7,18,3,2,11,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,154
0a485d9bc555d607f43264a186fb2396,FEMALE,35-49,4,0,32,0,0,32,0,3,3,0,0,23,14,64,2,11,32,0,0,0,5,0,10,0,10,0,0,0,0,0,0,0,340
f532e8fdd3e588fc7e0f1227c4cc0475,FEMALE,35-49,0,0,20,0,0,20,0,0,0,0,0,8,0,9,0,0,21,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,174
2091e8bf7636d0dca83cfba0fa734b8a,MALE,25-34,121,64,958,8,12,1889,96,960,977,27,49,767,2098,2461,1001,261,2310,0,1626,0,34,47,68,0,68,0,421,0,343,96,342,1,5809
1f3826ca58250a9792a9d76b6755e352,MALE,25-34,11,6,0,2,2,5,0,27,29,0,0,324,24,361,19,25,15,0,2,0,9,0,0,0,0,0,2,0,0,2,0,0,2311
d01d632ac60eee20c22fc739e09630c4,FEMALE,35-49,0,0,13,0,0,13,0,1,1,0,0,16,0,34,0,0,13,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,292
f7032216f7e6a315e7aba80eb837869b,MALE,25-34,0,0,14,0,0,14,0,2,2,0,0,26,6,34,0,4,14,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,184
cb849ed0e8f9f46b34ea0c916d91246a,FEMALE,25-34,88,6,0,2,0,1,59,5,10,0,0,48,40,235,1,4,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,789
d5f7f3664f9ea16fbb054021fa1db89b,MALE,35-49,1,0,49,0,0,49,0,8,7,1,0,60,7,59,2,6,49,0,1,0,5,0,20,0,20,0,0,0,0,0,0,0,562
0b04e1b76df8fb5dfce687471bc10363,MALE,25-34,78,16,0,0,0,1,19,0,1,0,0,18,0,236,1,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,473
64541aaba090c2ef787f41df4f60b427,FEMALE,25-34,1,2,1,0,0,1,0,0,0,0,0,4,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,98
712cfd0cbc471bb71c3719087c7f8163,MALE,25-34,6,0,1,0,0,0,2,16,16,0,0,43,13,77,86,44,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,479
c8792bbc040e42454c553884e49b0ad4,FEMALE,25-34,2,0,35,0,0,35,0,1,1,0,0,31,4,18,0,0,35,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,334
ad2cb6ee14999d6fb82188de2eac5b36,MALE,35-49,8,548,0,130,560,24,464,286,352,0,76,2250,642,3114,336,140,24,0,32,0,124,0,0,0,0,0,0,0,0,0,0,10,6048
269e60fba19ed6253ec9e8351c1309d4,MALE,35-49,3,0,44,2,1,44,3,6,6,0,0,97,5,254,0,25,47,0,0,0,1,0,13,0,13,0,0,0,0,0,0,0,737
daadc248fd9c1f691ba9fa366f8e0e68,FEMALE,25-34,3,0,1,1,0,0,0,5,5,0,0,39,0,33,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331
1585cd6e4e9e40f33d0add5f9aa021b3,MALE,25-34,40,93,1,0,19256,2,78,20,37,778,226,325,464,1383,412,33,62,0,51,0,54,192,18,0,18,2,970,0,0,8,0,0,2254
2da285ca4d7ccf55cddaec524cd6945e,MALE,25-34,3,0,96,3,0,96,0,0,0,0,0,22,2,44,5,2,96,0,0,0,3,1,8,0,8,0,0,0,0,0,0,0,345
6e6763685d90463cf4744c69b67bc6a8,MALE,35-49,9,4,0,0,0,6,10,2,4,0,0,17,1,86,8,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,453
fe826c2665b9aecd0e77a27eaa21e1d5,MALE,35-49,0,0,0,0,0,0,0,10,10,0,0,10,20,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253
7063a298b3fe8ae16adf08d157d7650b,FEMALE,25-34,21,1,0,0,0,2,92,10,18,4,0,115,43,240,6,13,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1477
920189e406fe3bd1b1d90f171d254c81,MALE,50-64,0,54,336,138,47,348,12,76,76,0,0,420,71,467,24,32,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559
d2a64c8cda3ca7eb0a29f38a9ee59a71,MALE,25-34,37,77,1,2,6,7,203,45,53,9,4,291,107,497,32,81,5,0,13,2,31,5,5,0,5,0,8,0,30,0,30,0,2258
cb18e30e112592b891b1a19714a8c9b4,FEMALE,50-64,3,2,10,0,0,10,6,1,1,0,0,26,6,25,0,4,13,0,0,0,4,0,9,0,9,0,0,0,0,0,0,0,332
83436be17ccd5f13421563e71f1831f9,FEMALE,35-49,38,34,0,5,0,0,93,14,14,0,1,344,47,275,42,30,26,0,19,0,11,0,15,0,15,0,8,0,0,0,0,0,1874
2f0930b662599ca0e886fc97a3a766b0,MALE,35-49,0,0,26,0,0,26,0,0,0,0,0,18,2,61,0,8,26,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,357
2f7cbda95a93a77d2414c09962414486,FEMALE,50-64,7,0,29,0,0,29,0,3,3,0,0,12,2,19,0,0,29,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,298
0c1260e532652078f669e45e3f400c4b,MALE,35-49,1,5,0,0,0,2,2,7,7,0,0,96,12,81,13,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,666
7deda4c651b4b8a9fa937903db9de6bd,MALE,50-64,26,169,6,0,2,0,162,44,43,1,24,571,73,640,62,37,5,0,1,0,73,1,0,0,0,0,0,0,0,0,0,0,3371
7d754aec6549d9c7edf312ae2052d3e5,FEMALE,35-49,20,0,16,0,0,15,0,1,1,0,0,16,3,54,0,18,15,0,0,0,1,0,15,0,15,0,0,0,0,0,0,0,235
109178ef55eccb9e70d989b81cd608fe,FEMALE,65-xx,16,0,8,0,0,8,1,0,0,0,0,11,7,24,0,1,8,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,240
a5ed4c18c0390f87ec8fd26f61e38b8b,FEMALE,25-34,3,341,0,1,6,2,306,62,67,4,0,1295,262,1085,257,167,19,0,1,0,38,1,13,0,13,0,4,0,0,0,0,0,6162
70121bb3fedd1b9881da204cce3d70c5,MALE,25-34,7,0,46,0,0,45,2,2,4,0,1,22,0,21,8,8,45,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,258
427243f7ecba77db502e1ecc334a3670,MALE,25-34,0,0,28,0,0,28,0,5,5,0,0,26,6,18,0,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,257
de7c1877406b7b524612d33cfd4a6faa,FEMALE,65-xx,90,93,4,23,10,8,273,110,109,4,3,386,213,480,72,45,30,0,10,0,28,2,0,0,0,0,5,0,0,0,0,0,3020
7b929a991be4703bfb474b2192b9e3d3,MALE,35-49,14,60,2,11,20,18,17,35,35,24,1,733,565,836,29,250,145,0,1,0,89,0,0,0,0,0,0,1,9,0,9,0,4866
7b72e0ec27de5a09329c3a182a932fe1,FEMALE,18-24,0,0,17,0,0,17,0,0,0,0,0,4,2,14,2,3,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146
9dd443066d1d87106cf38c417792118a,FEMALE,25-34,4,0,2,0,0,2,0,0,0,0,0,14,2,20,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,286
0745bfb436637124afa2c14ebe7b55ce,MALE,35-49,65,62,12,0,7,45,52,23,23,1,2,471,52,642,12,66,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3752
e82f0de508f17e5e333744972538b360,MALE,50-64,0,0,89,0,0,89,0,5,5,0,0,56,15,20,0,1,89,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,611
913e54a57730b7790f2d81c0f15df3c3,MALE,35-49,6,28,0,2,0,0,62,0,0,0,0,62,16,84,0,14,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,422
af9393a9f93b3ef093de18b489cd2d52,MALE,65-xx,2,14,0,18,18,2,12,44,44,240,0,202,52,154,34,16,2,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,680
eaa5dee7f527a6a158ba2de33c135db5,MALE,50-64,18,160,4,6,21,0,91,128,131,2,2,692,192,598,58,85,23,0,4,1,49,1,1,0,1,1,1,0,1,0,1,0,3730
a19b3aa4172e27805ebb7d758f1a9554,FEMALE,25-34,5,0,15,0,0,15,0,1,1,0,0,30,6,61,0,0,15,0,0,0,5,0,10,0,10,0,0,0,0,0,0,0,345
9fd50a877070139eb06c70e34346d8bf,MALE,35-49,30,556,12,20,6,394,142,108,146,0,2,370,138,760,364,266,450,0,290,0,50,54,12,0,12,0,138,0,54,2,54,0,1886
1c8878c8b91130a12db45ef2e8185183,FEMALE,35-49,6,46,0,3,0,0,110,0,0,0,1,165,18,357,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1109
d5bafdf68fc64ed3e9bc147dfcc5aef4,MALE,50-64,3,146,1,1,30,13,29,139,137,2,40,1019,373,1216,195,443,283,0,102,0,18,15,1,0,1,0,79,1,94,0,94,0,4629
ade51b73b66e6c37d31deeaba14bd000,FEMALE,35-49,24,18,13,7,2,9,31,9,9,0,0,479,177,606,22,27,15,0,3,0,35,1,14,0,14,0,1,0,0,1,0,3,3326
8a27676432d2227fff82e5ca1973c62c,FEMALE,35-49,5,0,19,1,1,17,0,0,0,0,0,24,10,73,3,2,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,413
603d5ea042f656afdbec4a39f7203ea3,FEMALE,35-49,7,6,0,1,2,2,19,2,2,1,0,76,132,74,9,7,1,0,0,1,11,0,0,0,0,0,0,0,0,1,0,1,885
049a61c8481194920950bf2411e9f721,MALE,25-34,6,0,0,0,0,0,15,6,6,2,0,22,7,54,28,12,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,271
c191a1fb49e90564d6a2effeaf8493d6,FEMALE,50-64,5,24,0,1,0,0,47,11,80,0,0,298,17,393,0,35,19,0,0,0,18,0,1,0,1,0,0,0,0,0,0,0,1581
47fb01784d4b95b49b3969f117581b32,FEMALE,18-24,47,26,14,0,1,98,38,44,50,0,4,177,86,299,18,30,5,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,1905
7a2db29d490c056dbbaba6170380848e,MALE,35-49,0,14,3,1,0,4,1,24,24,5,0,181,99,196,5,37,38,0,1,0,1,0,0,0,0,0,0,0,3,0,3,0,1531
c82ac59e4431be73a1a9c148abbacfb7,MALE,35-49,7,4,0,0,1,0,7,1,1,0,0,11,8,57,3,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,232
4e42116e64b482d8138352a72f32e8bc,FEMALE,25-34,79,50,0,2,0,1,111,30,46,0,1,272,74,241,7,39,5,0,0,0,8,7,0,0,0,2,3,0,0,1,0,0,1663
e70b835403729f1a2437127aa543d8f3,MALE,25-34,3,0,31,0,0,31,0,9,9,0,0,21,10,28,8,5,31,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,293
69dcc34685484753917caabc186c8ee8,MALE,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121503d0305016cc445a5409b84bd1dc,MALE,50-64,1,78,0,32,0,2,114,18,18,2,0,658,111,894,0,40,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3771
23120d5588a1042cf38f5df310432a83,FEMALE,25-34,9,0,12,1,0,12,0,0,0,0,0,31,6,52,0,1,12,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,347
8530e3cea6d6cfdd3892902b3876e60a,MALE,25-34,0,0,17,0,0,17,0,3,2,0,1,14,4,27,10,8,17,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,327
f88316ce3babd449f686dfbfcea929d3,FEMALE,50-64,8,28,0,0,5,0,41,0,0,6,0,47,86,69,11,44,33,3,0,0,29,7,1,0,1,0,0,0,6,0,4,0,764
ebb150c68b95d6f1c846b4cb8727d8f7,MALE,25-34,6,2,1,1,0,0,6,3,3,0,6,12,3,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,191
